;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
1289;Departamento;Jesús María;2;1;1;78;1800.0;900.0;180.0
1290;Departamento;Rímac;4;2;2;230;17900.0;5000.0;1000.0
1291;Local comercial;San Martín de Porres;0;1;0;30;1300.0;750.0;34.0
1292;Departamento;Ate;3;2;1;172;2300.0;1600.0;450.0
1293;Habitación;Pachacámac;1;0;0;40;1100.0;500.0;
1294;Departamento;San Miguel;2;1;1;68;1550.0;600.0;
1295;Loft;Ate;2;1;2;86;2300.0;2100.0;400.0
1296;Departamento;San Borja;4;1;1;320;6000.0;2630.0;600.0
1297;Local comercial;Jesús María;0;1;0;35;1700.0;280.0;
1298;Casa;Cieneguilla;3;1;0;69;1600.0;;
1299;Departamento;Rímac;4;2;2;140;13000.0;2500.0;700.0
1300;Departamento;San Miguel;3;2;1;85;2350.0;900.0;96.0
1301;Local comercial;Pachacámac;0;0;0;66;2500.0;1922.0;335.0
1302;Departamento;Jesús María;2;2;2;85;2500.0;1068.0;124.0
1303;Departamento;Comas;5;4;1;380;9000.0;4076.0;760.0
1304;Local comercial;Jesús María;0;1;0;32;800.0;1200.0;150.0
1305;Departamento;Punta Hermosa;3;1;1;110;3000.0;967.0;145.0
1306;Departamento;Los Olivos;2;1;0;70;1300.0;170.0;
1307;Departamento;San Borja;1;0;0;25;2000.0;;
1308;Local comercial;Ate;0;6;0;219;15000.0;7420.0;1600.0
1309;Local comercial;Jesús María;0;24;0;1473;73650.0;22659.0;9661.0
1310;Departamento;Pueblo Libre;3;3;1;250;8600.0;1900.0;580.0
1311;Departamento;San Borja;4;0;2;130;8500.0;790.0;100.0
1312;Local comercial;San Miguel;0;0;0;30;399.0;680.0;30.0
1313;Departamento;Ate;5;3;5;231;15000.0;2400.0;470.0
1314;Casa en condominio;Ate;4;4;4;300;9000.0;805.0;
1315;Local comercial;Ate;0;1;0;36;1500.0;1300.0;280.0
1316;Departamento;Callao;2;1;0;60;1000.0;420.0;13.0
1317;Departamento;San Miguel;3;1;1;126;1800.0;1109.0;162.0
1318;Departamento;Villa El Salvador;1;0;0;50;1800.0;525.0;45.0
1319;Casa en condominio;Ate;4;4;4;340;9000.0;706.0;8024.0
1320;Departamento;Comas;1;0;1;33;1800.0;565.0;
1321;Departamento;Miraflores;3;2;1;160;4000.0;1400.0;487.0
1322;Tienda/Salón;San Borja;0;0;0;400;62000.0;2200.0;16174.0
1323;Departamento;Ate;2;1;0;62;1100.0;680.0;99.0
1324;Tienda/Salón;San Miguel;0;5;0;262;28000.0;2737.0;1595.0
1325;Local comercial;Ate;0;1;0;32;600.0;919.0;119.0
1326;Departamento;Villa El Salvador;3;1;0;110;3000.0;699.0;190.0
1327;Departamento;Jesús María;2;1;1;70;1790.0;780.0;
1328;Departamento;Ate;4;3;2;219;5300.0;2084.0;5700.0
1329;Departamento;San Borja;1;0;0;30;1200.0;500.0;200.0
1330;Departamento;Ate;1;1;1;85;2300.0;1009.0;
1331;Departamento;Punta Hermosa;4;3;3;280;14999.0;3800.0;15000.0
1332;Casa comercial;Santa Rosa;0;0;0;148;3500.0;260.0;
1333;Departamento;Jesús María;3;1;1;82;2200.0;740.0;138.0
1334;Casa comercial;Pachacámac;0;0;0;150;11000.0;;864.0
1335;Departamento;San Borja;4;1;1;390;18000.0;4000.0;600.0
1336;Local comercial;San Miguel;0;0;0;24;900.0;385.0;
1337;Flat;Comas;1;1;1;52;3000.0;2386.0;312.0
1338;Tienda/Salón;Ate;0;1;0;56;3500.0;530.0;
1339;Casa comercial;Pueblo Libre;4;0;0;241;14000.0;;2195.0
1340;Departamento;Rímac;2;1;2;130;11000.0;2600.0;6296.0
1341;Flat;Comas;2;2;2;74;6000.0;2500.0;480.0
1342;Departamento;Villa El Salvador;3;0;1;178;4500.0;1500.0;220.0
1343;Departamento;Jesús María;3;2;1;78;1650.0;500.0;
1344;Departamento;San Luis;2;1;0;75;700.0;622.0;
1345;Departamento;San Bartolo;2;0;1;63;2400.0;927.0;
1346;Departamento;Ate;4;3;1;245;7000.0;2600.0;710.0
1347;Local comercial;Puente Piedra;0;1;0;42;1200.0;850.0;
1348;Departamento;Comas;2;1;0;95;6500.0;2179.0;473.0
1349;Tienda/Salón;Pachacámac;0;0;0;320;45000.0;;2250.0
1350;Local comercial;Pachacámac;0;0;0;28;400.0;550.0;79.0
1351;Departamento;Comas;3;1;1;140;8000.0;1550.0;438.0
1352;Departamento;San Borja;1;0;0;30;2000.0;420.0;80.0
1353;Departamento;Villa María del Triunfo;2;1;0;45;1200.0;320.0;27.0
1354;Departamento;Lince;2;1;0;60;900.0;200.0;
1355;Terreno;Ate;0;0;0;1873;50000.0;;6392.0
1356;Local comercial;Rímac;0;0;0;300;60000.0;3000.0;1960.0
1357;Local comercial;Ate;0;0;0;5;299.0;;
1358;Departamento;Ate;2;1;1;60;2800.0;900.0;1390.0
1359;Departamento;Ate;2;1;1;86;2200.0;1050.0;
1360;Local comercial;Pachacámac;0;0;0;93;2000.0;840.0;
1361;Departamento;San Borja;4;2;3;354;11800.0;4829.0;1153.0
1362;Departamento;Santa Anita;3;0;0;60;1000.0;120.0;15.0
1363;Departamento;Ate;2;1;1;86;2900.0;1307.0;215.0
1364;Departamento;Chorrillos;2;1;0;65;1900.0;600.0;102.0
1365;Departamento;Ate;3;2;1;170;3300.0;14784.0;557.0
1366;Habitación;San Borja;0;0;0;17;1000.0;520.0;227.0
1367;Casa de villa;Chaclacayo;2;1;0;52;1400.0;50.0;
1368;Local comercial;Pachacámac;0;0;0;560;50405.0;15516.0;2048.0
1369;Habitación;San Borja;0;0;0;25;1500.0;335.0;25.0
1370;Departamento;Jesús María;3;2;1;145;2500.0;676.0;
1371;Local comercial;Chorrillos;0;8;0;425;27000.0;11809.0;1940.0
1372;Departamento;San Borja;1;0;0;35;1100.0;400.0;55.0
1373;Almacén;Santa Rosa;0;0;0;600;8000.0;;500.0
1374;Tienda/Salón;San Miguel;0;0;0;150;7800.0;;
1375;Local comercial;Ate;0;1;0;55;1000.0;1000.0;385.0
1376;Local comercial;San Luis;0;0;0;30;1000.0;;155.0
1377;Departamento;San Borja;3;0;0;160;6000.0;2000.0;220.0
1378;Departamento;Comas;4;2;1;191;9500.0;3687.0;1503.0
1379;Habitación;Chorrillos;1;0;0;30;2100.0;366.0;250.0
1380;Departamento;San Miguel;1;0;0;40;1100.0;350.0;50.0
1381;Departamento;Ate;3;2;1;78;6800.0;1700.0;350.0
1382;Local comercial;Callao;0;1;0;22;1000.0;10.0;
1383;Departamento;Comas;1;0;0;58;2500.0;477.0;144.0
1384;Habitación;Chorrillos;1;0;0;25;1000.0;440.0;25.0
1385;Departamento;San Borja;1;0;0;32;1400.0;580.0;60.0
1386;Departamento;Breña;2;1;1;90;3400.0;742.0;131.0
1387;Local comercial;Chaclacayo;0;0;0;30;550.0;350.0;33.0
1388;Departamento;Rímac;3;1;1;150;5000.0;900.0;
1389;Departamento;Ate;3;2;3;200;4900.0;2500.0;600.0
1390;Local comercial;Villa El Salvador;0;3;0;179;15228.0;4916.0;
1391;Departamento;Rímac;4;2;3;400;20000.0;4250.0;1100.0
1392;Edificio completo;Comas;0;0;0;750;60000.0;;
1393;Local comercial;Chorrillos;0;12;0;730;109500.0;24608.0;3934.0
1394;Casa en condominio;Jesús María;4;2;3;300;3600.0;510.0;
1395;Departamento;Ate;3;2;1;230;3000.0;4200.0;700.0
1396;Departamento;Ate;4;3;4;291;9500.0;4700.0;9000.0
1397;Casa;Lurigancho;4;1;4;387;25000.0;;582.0
1398;Departamento;Comas;4;4;1;400;10000.0;3500.0;726.0
1399;Local comercial;Pachacámac;0;0;0;35;1000.0;492.0;97.0
1400;Habitación;Pachacámac;1;0;0;26;1500.0;490.0;
1401;Local comercial;Lince;0;1;0;32;810.0;115.0;154.0
1402;Departamento;Ate;3;2;1;170;5500.0;2060.0;510.0
1403;Departamento;Ate;4;3;4;200;6700.0;1930.0;428.0
1404;Departamento;Pueblo Libre;3;1;1;106;4500.0;1148.0;350.0
1405;Local comercial;Ate;0;3;0;108;5400.0;4040.0;835.0
1406;Departamento;Villa El Salvador;3;2;3;326;25000.0;3000.0;
1407;Habitación;Pachacámac;1;0;0;34;1000.0;415.0;
1408;Local comercial;Ate;0;1;0;23;1000.0;340.0;106.0
1409;Local comercial;San Borja;0;0;0;58;1200.0;511.0;
1410;Departamento;Rímac;3;2;2;250;17000.0;5000.0;1010.0
1411;Local comercial;Pachacámac;0;0;0;680;23000.0;5628.0;2747.0
1412;Local comercial;Ate;0;21;0;643;57000.0;13500.0;8100.0
1413;Tienda/Salón;Pachacámac;0;0;0;51;6000.0;1650.0;314.0
1414;Departamento;Ate;4;3;4;192;8000.0;2100.0;3200.0
1415;Departamento;San Miguel;3;2;1;102;2600.0;798.0;89.0
1416;Departamento;Ate;3;1;1;90;2850.0;850.0;130.0
1417;Tienda/Salón;Ate;0;0;0;370;15000.0;1046.0;
1418;Departamento;Ate;4;3;4;240;16500.0;2400.0;450.0
1419;Departamento;Ate;1;1;1;52;5000.0;2660.0;380.0
1420;Departamento;Comas;2;1;0;120;9500.0;2050.0;
1421;Departamento;San Borja;3;1;0;139;4000.0;1900.0;327.0
1422;Departamento;Comas;2;1;2;120;15000.0;1040.0;300.0
1423;Departamento;Pachacámac;3;1;0;95;2000.0;867.0;72.0
1424;Departamento;La Punta;2;1;0;49;790.0;410.0;
1425;Departamento;Ventanilla;1;1;0;52;1200.0;468.0;26.0
1426;Departamento;Breña;3;1;0;106;4500.0;1750.0;383.0
1427;Casa en condominio;Ate;4;2;4;800;15000.0;2000.0;
1428;Casa comercial;Jesús María;0;1;0;38;2000.0;500.0;
1429;Local comercial;Pachacámac;0;1;0;260;10400.0;6695.0;
1430;Departamento;Lima;1;0;0;30;450.0;;
1431;Departamento;Rímac;3;1;0;105;5000.0;1600.0;231.0
1432;Departamento;La Punta;1;0;0;34;1100.0;275.0;14.0
1433;Almacén;Lima;0;0;0;800;8000.0;;
1434;Casa en condominio;Jesús María;4;5;1;350;6000.0;862.0;210.0
1435;Departamento;Ate;1;0;1;45;800.0;120.0;31.0
1436;Departamento;San Borja;1;0;1;90;3400.0;1000.0;
1437;Departamento;San Borja;1;0;0;30;1700.0;600.0;24.0
1438;Departamento;Rímac;1;0;1;135;10000.0;1900.0;500.0
1439;Local comercial;Jesús María;0;1;0;25;1000.0;;
1440;Departamento;Jesús María;2;1;1;72;2790.0;650.0;129.0
1441;Local comercial;Pachacámac;0;0;0;300;8000.0;4200.0;1130.0
1442;Departamento;Villa El Salvador;1;0;0;42;1500.0;517.0;21.0
1443;Departamento;San Miguel;3;1;0;125;2500.0;1100.0;200.0
1444;Departamento;Callao;2;1;1;60;1700.0;560.0;72.0
1445;Almacén;Independencia;0;0;0;1170;14310.0;;
1446;Habitación;Comas;1;0;0;45;3650.0;600.0;
1447;Departamento;Mi Perú;2;1;1;60;1100.0;750.0;96.0
1448;Departamento;Carmen de La Legua;2;0;0;70;1000.0;;
1449;Edificio completo;Comas;0;0;0;500;120000.0;;
1450;Departamento;Los Olivos;2;1;0;73;1490.0;491.0;14.0
1451;Local comercial;Pachacámac;0;0;0;31;750.0;560.0;82.0
1452;Departamento;Ate;4;2;3;153;3000.0;1800.0;497.0
1453;Departamento;San Miguel;3;1;0;98;2200.0;630.0;
1454;Departamento;Ventanilla;2;0;0;86;2000.0;468.0;19.0
1455;Departamento;San Luis;4;1;1;110;1900.0;;
1456;Departamento;Mi Perú;2;0;0;60;1100.0;;15.0
1457;Departamento;Ate;2;1;1;89;3000.0;1590.0;255.0
1458;Departamento;Ate;4;1;1;112;4500.0;1500.0;190.0
1459;Departamento;Ate;4;4;4;333;12500.0;4300.0;1000.0
1460;Casa en condominio;Ate;5;4;5;700;16000.0;2150.0;17000.0
1461;Departamento;San Borja;1;0;0;45;2150.0;550.0;
1462;Departamento;Pueblo Libre;4;4;4;354;25000.0;4436.0;2088.0
1463;Local comercial;Rímac;0;0;0;150;25000.0;2400.0;694.0
1464;Casa;Lurigancho;4;5;4;845;35000.0;;
1465;Local comercial;Ate;0;1;0;27;800.0;640.0;130.0
1466;Departamento;Comas;3;1;1;140;12900.0;1580.0;280.0
1467;Departamento;Ate;2;2;1;93;2700.0;1304.0;179.0
1468;Departamento;Comas;3;1;0;80;4000.0;1200.0;251.0
1469;Casa en condominio;Lince;1;1;0;60;780.0;240.0;
1470;Departamento;San Miguel;4;2;2;300;5000.0;1500.0;380.0
1471;Departamento;Ate;2;1;1;70;3800.0;1200.0;
1472;Departamento;San Borja;3;1;1;280;8000.0;1200.0;400.0
1473;Departamento;San Miguel;2;0;0;81;1800.0;665.0;86.0
1474;Departamento;Jesús María;4;3;4;320;4000.0;1000.0;4500.0
1475;Casa en condominio;Villa El Salvador;4;6;4;500;7000.0;2400.0;
1476;Departamento;Pueblo Libre;3;3;1;210;14900.0;3000.0;
1477;Departamento;Comas;3;1;1;151;10000.0;2250.0;513.0
1478;Departamento;San Borja;3;0;1;110;8000.0;;
1479;Departamento;Jesús María;3;2;1;109;2500.0;842.0;192.0
1480;Departamento;La Punta;1;0;0;30;1300.0;510.0;25.0
1481;Departamento;Ate;4;3;3;290;14000.0;3950.0;770.0
1482;Local comercial;Chorrillos;0;3;0;140;12500.0;4176.0;
1483;Departamento;Ate;1;1;0;70;2000.0;860.0;205.0
1484;Departamento;Chaclacayo;2;0;0;57;1700.0;604.0;51.0
1485;Departamento;Ate;2;1;1;78;2500.0;1300.0;300.0
1486;Habitación;Comas;1;0;0;27;1500.0;528.0;
1487;Departamento;San Borja;3;1;0;380;4500.0;1980.0;
1488;Departamento;San Borja;2;1;0;64;1800.0;697.0;
1489;Local comercial;Pachacámac;0;3;0;328;26293.0;5587.0;
1490;Casa en condominio;Lince;2;1;0;70;1000.0;260.0;
1491;Departamento;La Punta;2;2;0;78;2470.0;738.0;121.0
1492;Departamento;Chorrillos;1;1;0;57;2150.0;880.0;86.0
1493;Local comercial;Pachacámac;0;0;0;70;3600.0;1718.0;243.0
1494;Terreno;Jesús María;0;0;0;1290;18000.0;;1300.0
1495;Departamento;Ate;3;2;1;220;3000.0;1780.0;
1496;Casa en condominio;Ate;6;2;6;556;20000.0;1050.0;
1497;Local comercial;Chorrillos;0;0;0;10;1605.0;;
1498;Local comercial;Jesús María;0;1;0;19;1000.0;450.0;
1499;Departamento;Ate;2;1;1;70;1700.0;560.0;77.0
1500;Tienda/Salón;Pachacámac;0;0;0;1245;150000.0;;
1501;Departamento;Comas;2;1;0;78;3000.0;1050.0;280.0
1502;Departamento;Jesús María;3;1;1;69;1500.0;780.0;187.0
1503;Local comercial;Pachacámac;0;0;0;30;1000.0;600.0;135.0
1504;Casa de villa;Lince;2;0;0;100;850.0;;
1505;Departamento;Magdalena del Mar;3;2;1;127;2500.0;620.0;293.0
1506;Flat;Comas;2;1;1;90;10000.0;4000.0;613.0
1507;Departamento;La Molina;2;1;1;60;1400.0;510.0;
1508;Departamento;Punta Hermosa;2;1;1;86;3000.0;870.0;160.0
1509;Almacén;El Agustino;0;0;0;14000;150000.0;;10000.0
1510;Habitación;Pachacámac;1;1;1;37;1100.0;370.0;25.0
1511;Departamento;Mi Perú;2;1;0;87;1300.0;500.0;
1512;Departamento;San Borja;3;1;0;140;3500.0;1000.0;120.0
1513;Local comercial;Pachacámac;0;3;0;160;12800.0;3300.0;860.0
1514;Departamento;Santa Rosa;1;0;0;37;600.0;414.0;16.0
1515;Departamento;San Miguel;2;0;0;90;1400.0;600.0;35.0
1516;Tienda/Salón;Pachacámac;0;0;0;23;4000.0;616.0;135.0
1517;Departamento;Ate;3;2;1;120;4500.0;1100.0;650.0
1518;Tienda/Salón;Carmen de La Legua;0;0;0;60;2500.0;;
1519;Departamento;Comas;1;0;0;37;1800.0;490.0;40.0
1520;Departamento;Jesús María;2;1;1;87;2000.0;600.0;176.0
1521;Departamento;Pueblo Libre;2;1;1;85;2200.0;1225.0;278.0
1522;Departamento;Lima;2;1;0;70;1250.0;218.0;
1523;Departamento;Barranco;2;0;0;60;700.0;210.0;
1524;Departamento;Comas;2;1;2;120;7500.0;2278.0;262.0
1525;Casa en condominio;Ate;6;0;4;800;17000.0;2695.0;2220.0
1526;Casa;Lurín;3;2;1;317;5000.0;;2221.0
1527;Departamento;San Borja;4;0;0;103;2800.0;953.0;240.0
1528;Departamento;San Miguel;2;0;0;75;1700.0;280.0;
1529;Departamento;La Punta;2;1;1;69;1400.0;499.0;125.0
1530;Departamento;Comas;1;2;1;64;3770.0;1700.0;230.0
1531;Tienda/Salón;Ventanilla;0;1;0;46;2000.0;;223.0
1532;Flat;Ate;1;1;0;60;2400.0;1400.0;300.0
1533;Departamento;San Borja;2;1;1;80;5000.0;500.0;302.0
1534;Departamento;San Borja;3;0;0;105;3200.0;1176.0;172.0
1535;Casa;Ate;2;1;0;60;1050.0;;5.0
1536;Departamento;Rímac;2;1;1;58;1000.0;603.0;35.0
1537;Departamento;San Miguel;2;0;0;89;1400.0;60.0;
1538;Departamento;Chorrillos;2;1;1;65;1000.0;515.0;
1539;Departamento;Punta Hermosa;4;2;3;284;9000.0;3200.0;
1540;Departamento;Lince;2;1;0;50;600.0;330.0;
1541;Departamento;Jesús María;2;1;1;105;2300.0;648.0;156.0
1542;Local comercial;San Luis;0;0;0;32;650.0;260.0;48.0
1543;Local comercial;Ate;0;2;0;72;100.0;1380.0;312.0
1544;Departamento;Chorrillos;2;0;0;70;2300.0;1065.0;134.0
1545;Casa comercial;San Luis;0;0;0;124;4000.0;;2700.0
1546;Habitación;Villa El Salvador;0;0;0;32;1800.0;350.0;
1547;Local comercial;Pachacámac;0;0;0;33;1060.0;940.0;
1548;Departamento;La Punta;2;1;0;80;1000.0;500.0;143.0
1549;Tienda/Salón;San Luis;0;0;0;25;1500.0;;
1550;Departamento;Lince;2;1;0;60;1500.0;380.0;
1551;Departamento;San Borja;4;1;0;150;7000.0;1500.0;261.0
1552;Local comercial;Jesús María;0;1;0;23;1300.0;450.0;135.0
1553;Departamento;Jesús María;3;2;1;84;2150.0;711.0;19.0
1554;Departamento;Comas;3;1;1;262;4300.0;1595.0;736.0
1555;Departamento;Comas;3;1;1;108;8000.0;1352.0;350.0
1556;Local comercial;Comas;2;0;0;45;5000.0;2200.0;245.0
1557;Departamento;Ate;3;2;1;112;2200.0;1752.0;256.0
1558;Local comercial;Pachacámac;0;0;0;94;3000.0;900.0;337.0
1559;Departamento;Comas;3;1;1;180;8000.0;2760.0;465.0
1560;Departamento;Rímac;2;1;0;70;2500.0;840.0;176.0
1561;Departamento;Comas;3;1;1;110;3500.0;812.0;285.0
1562;Departamento;Pueblo Libre;2;2;1;100;3600.0;750.0;150.0
1563;Departamento;Ate;4;3;3;222;8000.0;2700.0;4390.0
1564;Departamento;San Juan de Lurigancho;3;2;2;110;3750.0;1280.0;
1565;Departamento;Comas;1;0;0;40;2400.0;380.0;80.0
1566;Departamento;Rímac;3;1;0;120;5800.0;1072.0;297.0
1567;Departamento;Comas;3;1;1;116;10000.0;1700.0;430.0
1568;Departamento;San Miguel;2;1;0;73;1700.0;500.0;
1569;Departamento;Ate;3;2;1;96;3400.0;1450.0;
1570;Departamento;San Bartolo;2;0;0;64;2000.0;1100.0;
1571;Departamento;San Borja;2;0;0;90;3200.0;800.0;80.0
1572;Flat;San Luis;1;1;0;36;1300.0;600.0;14.0
1573;Departamento;Jesús María;2;1;1;70;2200.0;650.0;
1574;Departamento;Punta Hermosa;2;1;0;55;1800.0;1050.0;97.0
1575;Departamento;Lince;2;1;0;65;500.0;300.0;
1576;Departamento;Ate;4;4;4;466;16000.0;4000.0;12000.0
1577;Departamento;Rímac;2;2;2;234;10000.0;3250.0;650.0
1578;Habitación;Rímac;1;0;1;32;2000.0;650.0;84.0
1579;Departamento;Ate;3;2;1;149;3300.0;2200.0;400.0
1580;Departamento;Rímac;3;1;1;150;7500.0;1700.0;497.0
1581;Departamento;Punta Hermosa;4;3;2;280;11999.0;2800.0;1200.0
1582;Local comercial;Pachacámac;0;0;0;40;1100.0;350.0;
1583;Local comercial;Ate;0;6;0;239;8500.0;7865.0;
1584;Local comercial;Ate;0;22;0;800;45000.0;31000.0;14000.0
1585;Departamento;Santa Anita;4;2;2;130;3000.0;1200.0;240.0
1586;Departamento;Rímac;3;2;3;360;30000.0;3300.0;1000.0
1587;Departamento;San Borja;3;0;0;140;3500.0;1100.0;220.0
1588;Departamento;Ate;3;1;1;96;3400.0;1300.0;
1589;Departamento;Comas;4;3;2;280;10000.0;4800.0;
1590;Departamento;San Borja;3;0;0;66;3200.0;893.0;146.0
1591;Departamento;Chorrillos;4;0;0;132;7950.0;1682.0;340.0
1592;Departamento;Pueblo Libre;1;1;1;85;3000.0;1123.0;387.0
1593;Tienda/Salón;Jesús María;0;1;0;0;1500.0;400.0;
1594;Local comercial;Pachacámac;0;0;0;26;550.0;507.0;84.0
1595;Casa en condominio;Villa El Salvador;2;2;1;90;1900.0;550.0;250.0
1596;Departamento;Jesús María;3;2;3;200;3900.0;1000.0;450.0
1597;Departamento;Ate;2;1;1;71;1500.0;720.0;
1598;Departamento;Ate;3;4;3;336;18000.0;4242.0;1011.0
1599;Tienda/Salón;Pachacámac;0;1;0;42;1300.0;370.0;90.0
1600;Local comercial;Pachacámac;0;0;0;330;13000.0;5530.0;2045.0
1601;Local comercial;San Miguel;0;1;0;27;1200.0;850.0;
1602;Local comercial;Santa Anita;0;0;0;23;800.0;550.0;56.0
1603;Departamento;Comas;4;1;1;260;9000.0;4150.0;925.0
1604;Departamento;San Miguel;1;1;0;44;500.0;346.0;
1605;Departamento;Rímac;4;2;3;202;18000.0;3737.0;
1606;Departamento;San Borja;3;0;1;270;10000.0;2350.0;650.0
1607;Flat;Rímac;1;1;0;50;4000.0;2035.0;236.0
1608;Departamento;Ate;1;1;1;45;910.0;640.0;12.0
1609;Departamento;Chorrillos;1;0;0;45;1500.0;560.0;
1610;Departamento;Comas;4;2;1;160;16000.0;3500.0;800.0
1611;Departamento;Ate;4;2;1;121;2800.0;1190.0;209.0
1612;Departamento;Jesús María;3;1;1;83;2000.0;790.0;1655.0
1613;Casa en condominio;Ate;5;3;5;700;25000.0;;
1614;Departamento;Ate;2;1;1;80;3500.0;1200.0;150.0
1615;Departamento;Punta Hermosa;2;1;1;110;2900.0;1396.0;210.0
1616;Departamento;Comas;4;3;4;310;31000.0;6070.0;
1617;Departamento;Villa El Salvador;2;1;1;95;4000.0;930.0;187.0
1618;Departamento;Punta Negra;2;1;1;55;1900.0;575.0;
1619;Departamento;Ate;2;1;1;80;2500.0;1310.0;
1620;Departamento;Jesús María;3;1;1;58;1500.0;703.0;
1621;Departamento;Callao;2;0;0;58;900.0;445.0;
1622;Departamento;Rímac;2;0;2;60;5000.0;350.0;
1623;Departamento;La Perla;3;2;1;200;6900.0;2642.0;
1624;Cochera;Pachacámac;0;1;0;0;350.0;;79.0
1625;Departamento;La Punta;3;1;1;85;1300.0;765.0;
1626;Local comercial;Pachacámac;0;0;0;96;2880.0;1652.0;238.0
1627;Departamento;Callao;4;2;2;234;3000.0;1000.0;
1628;Departamento;Comas;3;1;1;125;5500.0;1710.0;220.0
1629;Departamento;Lince;2;1;0;65;1000.0;338.0;
1630;Flat;Comas;2;1;1;89;12000.0;4900.0;5918.0
1631;Departamento;Chorrillos;3;1;1;103;3500.0;1245.0;1619.0
1632;Departamento;Pachacámac;1;1;0;38;1500.0;530.0;
1633;Local comercial;Pachacámac;0;0;0;35;300.0;594.0;
1634;Casa en condominio;Villa El Salvador;3;2;1;160;3900.0;;
1635;Departamento;San Borja;2;0;1;70;4000.0;;
1636;Almacén;Ventanilla;0;0;0;1800;25000.0;;
1637;Departamento;Comas;4;3;1;600;42000.0;6500.0;180.0
1638;Departamento;Punta Hermosa;2;1;1;95;3100.0;879.0;182.0
1639;Tienda/Salón;Villa El Salvador;0;0;0;42;2000.0;430.0;120.0
1640;Departamento;Pachacámac;1;0;0;30;900.0;320.0;
1641;Departamento;Chorrillos;1;0;0;40;1700.0;400.0;24.0
1642;Departamento;San Borja;2;0;0;71;2400.0;605.0;
1643;Tienda/Salón;Rímac;0;6;0;1200;244000.0;;
1644;Casa;Santiago de Surco;5;4;3;350;16000.0;;500.0
1645;Departamento;San Miguel;2;1;0;90;1700.0;470.0;91.0
1646;Departamento;La Victoria;2;1;1;60;1500.0;550.0;
1647;Departamento;Lince;2;1;0;48;790.0;280.0;
1648;Departamento;La Punta;2;1;1;60;1100.0;656.0;16.0
1649;Casa;Pueblo Libre;2;0;0;60;800.0;;
1650;Tienda/Salón;Ate;0;1;0;50;1600.0;1330.0;360.0
1651;Departamento;San Borja;4;2;1;300;9500.0;2800.0;500.0
1652;Cochera;Pachacámac;0;0;0;9;100.0;446.0;
1653;Casa;Chorrillos;3;0;1;159;1400.0;;100.0
1654;Departamento;Pueblo Libre;1;1;0;66;2100.0;630.0;226.0
1655;Departamento;Chorrillos;3;1;1;101;5600.0;1310.0;270.0
1656;Departamento;Villa El Salvador;4;1;2;365;8500.0;2100.0;950.0
1657;Local comercial;Ate;0;2;0;42;4200.0;;
1658;Casa en condominio;Jesús María;4;3;2;630;8000.0;945.0;530.0
1659;Departamento;Ate;4;2;1;120;3000.0;2100.0;300.0
1660;Local comercial;Pachacámac;0;0;0;35;700.0;317.0;90.0
1661;Almacén;San Miguel;0;0;0;1000;9800.0;;7500.0
1662;Departamento;Miraflores;4;3;2;400;15000.0;2200.0;1400.0
1663;Almacén;Lima;0;0;0;2800;30000.0;;1800.0
1664;Departamento;San Bartolo;3;1;1;336;12000.0;2800.0;
1665;Edificio completo;Pachacámac;0;1;0;411;27619.0;12849.0;
1666;Local comercial;Pachacámac;0;0;0;641;20000.0;7235.0;2704.0
1667;Departamento;Ate;3;2;2;173;5499.0;2450.0;395.0
1668;Departamento;Comas;2;0;0;90;9800.0;1133.0;
1669;Tienda/Salón;Punta Negra;0;0;0;47;500.0;;170.0
1670;Departamento;San Borja;2;0;0;90;3000.0;800.0;218.0
1671;Local comercial;Pachacámac;0;0;0;292;8000.0;7200.0;1700.0
1672;Departamento;Pachacámac;1;0;0;21;900.0;289.0;20.0
1673;Departamento;Villa El Salvador;2;1;0;70;1800.0;950.0;100.0
1674;Departamento;Jesús María;3;1;1;92;3000.0;804.0;1652.0
1675;Departamento;Jesús María;3;3;1;190;3000.0;1533.0;381.0
1676;Departamento;Chorrillos;1;0;0;40;1500.0;550.0;57.0
1677;Local comercial;Pachacámac;0;0;0;58;2800.0;700.0;50.0
1678;Departamento;Jesús María;3;2;1;220;2500.0;1000.0;500.0
1679;Departamento;Rímac;4;3;3;509;25000.0;4819.0;2341.0
1680;Almacén;La Molina;0;0;0;600;9000.0;;
1681;Departamento;San Borja;3;2;2;154;5200.0;1490.0;315.0
1682;Departamento;San Borja;1;1;0;54;2400.0;613.0;131.0
1683;Local comercial;Ate;0;2;0;40;1900.0;1262.0;295.0
1684;Departamento;Ate;3;3;2;250;5800.0;2550.0;657.0
1685;Almacén;Independencia;0;8;0;1000;18000.0;;1500.0
1686;Departamento;Jesús María;3;2;1;211;2500.0;;
1687;Departamento;Lince;2;0;0;47;800.0;60.0;
1688;Departamento;La Molina;3;2;2;64;1700.0;968.0;
1689;Casa en condominio;Ate;5;2;2;450;8500.0;850.0;5500.0
1690;Departamento;La Perla;4;3;2;240;6000.0;3250.0;400.0
1691;Departamento;Pueblo Libre;2;2;1;100;3600.0;750.0;150.0
1692;Departamento;Santa María del Mar;2;1;1;70;1200.0;767.0;37.0
1693;Departamento;Chaclacayo;1;0;0;35;400.0;130.0;
1694;Departamento;San Borja;2;0;0;81;2500.0;800.0;90.0
